Time (local),Ozone (ppm)
2025-07-07_04:09:57,0.021
2025-07-07_04:10:53,0.020
2025-07-07_04:11:48,0.021
2025-07-07_04:12:43,0.020
2025-07-07_04:13:39,-999
2025-07-07_04:15:30,0.022
2025-07-07_04:16:25,0.022
2025-07-07_04:17:20,0.022
2025-07-07_04:18:16,0.022
2025-07-07_04:19:11,0.021
2025-07-07_04:20:06,0.022
2025-07-07_04:21:02,0.021
2025-07-07_04:21:57,0.021
2025-07-07_04:22:52,0.022
2025-07-07_04:23:48,0.022
2025-07-07_04:24:43,0.022
2025-07-07_04:25:38,0.022
2025-07-07_04:27:29,0.022
2025-07-07_04:28:25,0.022
2025-07-07_04:29:20,0.022
2025-07-07_04:30:15,0.022
2025-07-07_04:31:11,0.022
2025-07-07_04:32:06,0.022
2025-07-07_04:33:01,0.021
2025-07-07_04:33:57,0.022
2025-07-07_04:34:52,0.023
2025-07-07_04:35:47,0.023
2025-07-07_04:36:43,0.023
2025-07-07_04:37:38,0.023
2025-07-07_04:39:29,-999
2025-07-07_04:40:24,0.022
2025-07-07_04:41:20,0.021
2025-07-07_04:42:15,0.021
2025-07-07_04:43:10,-999
2025-07-07_04:44:06,-999
2025-07-07_04:45:01,0.022
2025-07-07_04:45:56,0.021
2025-07-07_04:46:52,0.020
2025-07-07_04:47:47,0.021
2025-07-07_04:48:43,0.022
2025-07-07_04:49:38,0.019
2025-07-07_04:51:29,0.019
2025-07-07_04:52:24,0.020
2025-07-07_04:53:19,0.021
2025-07-07_04:54:15,0.021
2025-07-07_04:55:10,0.019
2025-07-07_04:56:05,0.019
2025-07-07_04:57:01,0.021
2025-07-07_04:57:56,0.020
2025-07-07_04:58:52,0.021
2025-07-07_04:59:47,0.021
2025-07-07_05:00:42,0.021
2025-07-07_05:01:38,0.021
2025-07-07_05:03:29,0.018
2025-07-07_05:04:24,0.018
2025-07-07_05:05:19,0.019
2025-07-07_05:06:15,0.018
2025-07-07_05:07:10,0.016
2025-07-07_05:08:05,0.016
2025-07-07_05:09:01,0.020
2025-07-07_05:09:56,0.021
2025-07-07_05:10:51,0.021
